ID,ContactTypeID,Title,Comment,Value,IsDeleted,CreatedByID,CreatedDate,ModifiedByID,ModifiedDate
100001,1,System Email,,system@photoprint.com,0,100001,10/1/2021,,
100002,1,Admin Email,,admin@photoprint.com,0,100001,10/1/2021,,
100003,1,LindonJ Email,,LindonJ2021.pp@gmail.com,0,100001,10/1/2021,,
100004,1,JohnK Email,,JohnK2021.pp@gmail.com,0,100001,10/1/2021,,
100005,1,FranklinR Email,,FranklinR2021.pp@gmail.com,0,100001,10/1/2021,,
100006,1,ManagerBill Email,,ManagerBill2021.pp@gmail.com,0,100001,10/1/2021,,
100007,1,ManagerTed Email,,ManagerTed2021.pp@gmail.com,0,100001,10/1/2021,,
100008,1,ManagerSam Email,,ManagerSam2021.pp@gmail.com,0,100001,10/1/2021,,
100009,1,PrinterBill Email,,PrinterBill2021.pp@gmail.com,0,100001,10/1/2021,,
100010,1,PrinterTed Email,,PrinterTed2021.pp@gmail.com,0,100001,10/1/2021,,
100011,1,PrinterSam Email,,PrinterSam2021.pp@gmail.com,0,100001,10/1/2021,,
100012,2,LindonJ Phone,,"""+1-343-545-454""",0,100001,10/1/2021,,
100013,6,JohnK Telegram,,telegram.johnk,0,100001,10/1/2021,,
100014,6,FranklinR Telegram,,telegram.FranklinR,0,100001,10/1/2021,,
100015,4,ManagerBill Viber,,"""+48-656-5656-5656""",0,100001,10/1/2021,,
100016,4,ManagerTed Viber,,"""+38067-4545-4545-555""",0,100001,10/1/2021,,
100017,4,ManagerSam Viber,,"""+1-567-5456-5667""",0,100001,10/1/2021,,
100018,2,PrinterBill Phone,,"""+48-656-5656-5656""",0,100001,10/1/2021,,
100019,2,PrinterTed Phone,,"""+38067-4545-4545-555""",0,100001,10/1/2021,,
100020,2,PrinterSam Phone,,"""+1-567-5456-5667""",0,100001,10/1/2021,,
100021,2,Ukraine Print Phone,,"""+38057-123-456-78""",0,100001,10/1/2021,,
100022,2,Poland Print Phone,,"""+48-456-789-334""",0,100001,10/1/2021,,
